2000,460.0
4000,451.0
6000,441.0
8000,487.0
10000,443.0
12000,516.0
14000,562.0
16000,457.0
18000,494.0
20000,449.0
22000,518.0
24000,474.0
26000,470.0
28000,448.0
30000,456.0
32000,438.0
34000,502.0
36000,501.0
38000,472.0
40000,522.0
42000,561.0
44000,494.0
46000,479.0
48000,519.0
50000,499.0
52000,540.0
54000,491.0
56000,487.0
58000,473.0
60000,598.0
62000,504.0
64000,485.0
66000,524.0
68000,490.0
70000,438.0
72000,466.0
74000,475.0
76000,541.0
78000,472.0
80000,478.0
82000,485.0
84000,456.0
86000,550.0
88000,515.0
90000,560.0
92000,466.0
94000,510.0
96000,515.0
98000,537.0
100000,474.0
102000,522.0
104000,498.0
106000,500.0
108000,498.0
110000,465.0
112000,425.0
114000,430.0
116000,493.0
118000,471.0
120000,453.0
122000,502.0
124000,490.0
126000,461.0
128000,456.0
130000,448.0
132000,455.0
134000,420.0
136000,425.0
138000,437.0
140000,430.0
142000,428.0
144000,444.0
146000,439.0
148000,470.0
150000,461.0
152000,439.0
154000,482.0
156000,436.0
158000,458.0
160000,495.0
162000,487.0
164000,464.0
166000,443.0
168000,461.0
170000,458.0
172000,468.0
174000,464.0
176000,498.0
178000,475.0
180000,455.0
182000,477.0
184000,483.0
186000,475.0
188000,443.0
190000,479.0
192000,449.0
194000,459.0
196000,514.0
198000,461.0
200000,479.0
202000,460.0
204000,451.0
206000,445.0
208000,453.0
210000,435.0
212000,436.0
214000,469.0
216000,482.0
218000,502.0
220000,461.0
222000,478.0
224000,469.0
226000,463.0
228000,433.0
230000,466.0
232000,446.0
234000,444.0
236000,451.0
238000,412.0
240000,432.0
242000,463.0
244000,453.0
246000,438.0
248000,480.0
250000,448.0
252000,469.0
254000,483.0
256000,475.0
258000,449.0
260000,497.0
262000,435.0
264000,432.0
266000,457.0
268000,453.0
270000,456.0
272000,452.0
274000,471.0
276000,457.0
278000,436.0
280000,448.0
282000,443.0
284000,453.0
286000,445.0
288000,430.0
290000,481.0
292000,436.0
294000,434.0
296000,433.0
298000,428.0
300000,440.0
302000,549.0
304000,508.0
306000,472.0
308000,465.0
310000,505.0
312000,497.0
314000,530.0
316000,449.0
318000,525.0
320000,546.0
322000,490.0
324000,478.0
326000,475.0
328000,475.0
330000,429.0
332000,437.0
334000,534.0
336000,540.0
338000,482.0
340000,1038.0
342000,575.0
344000,504.0
346000,523.0
348000,1552.0
350000,602.0
352000,502.0
354000,489.0
356000,1137.0
358000,644.0
360000,810.0
362000,740.0
364000,826.0
366000,1056.0
368000,1072.0
370000,688.0
372000,1410.0
374000,923.0
376000,1019.0
378000,1034.0
380000,1157.0
382000,1999.0
384000,797.0
386000,1011.0
388000,915.0
390000,1999.0
392000,1490.0
394000,1300.0
396000,1039.0
398000,1056.0
400000,909.0
402000,1006.0
404000,824.0
406000,858.0
408000,873.0
410000,571.0
412000,527.0
414000,452.0
416000,958.0
418000,996.0
420000,921.0
422000,851.0
424000,619.0
426000,1139.0
428000,706.0
430000,916.0
432000,535.0
434000,1058.0
436000,771.0
438000,750.0
440000,841.0
442000,1178.0
444000,1114.0
446000,1278.0
448000,596.0
450000,772.0
452000,612.0
454000,967.0
456000,1112.0
458000,587.0
460000,626.0
462000,745.0
464000,450.0
466000,829.0
468000,1016.0
470000,1031.0
472000,700.0
474000,950.0
476000,923.0
478000,861.0
480000,708.0
482000,939.0
484000,655.0
486000,905.0
488000,807.0
490000,977.0
492000,673.0
494000,647.0
496000,483.0
498000,442.0
500000,603.0
502000,471.0
504000,554.0
506000,662.0
508000,395.0
510000,427.0
512000,479.0
514000,426.0
516000,454.0
518000,509.0
520000,560.0
522000,556.0
524000,575.0
526000,455.0
528000,490.0
530000,449.0
532000,449.0
534000,433.0
536000,430.0
538000,477.0
540000,420.0
542000,448.0
544000,574.0
546000,454.0
548000,403.0
550000,418.0
552000,453.0
554000,448.0
556000,463.0
558000,562.0
560000,477.0
562000,527.0
564000,572.0
566000,571.0
568000,631.0
570000,489.0
572000,783.0
574000,720.0
576000,566.0
578000,1234.0
580000,631.0
582000,945.0
584000,889.0
586000,941.0
588000,594.0
590000,554.0
592000,471.0
594000,483.0
596000,434.0
598000,368.0
600000,377.0
602000,448.0
604000,380.0
606000,400.0
608000,408.0
610000,384.0
612000,386.0
614000,373.0
616000,387.0
618000,383.0
620000,412.0
622000,410.0
624000,426.0
626000,422.0
628000,361.0
630000,355.0
632000,370.0
634000,359.0
636000,363.0
638000,340.0
640000,328.0
642000,333.0
644000,347.0
646000,344.0
648000,386.0
650000,427.0
652000,431.0
654000,413.0
656000,463.0
658000,445.0
660000,439.0
662000,500.0
664000,442.0
666000,402.0
668000,405.0
670000,454.0
672000,411.0
674000,430.0
676000,421.0
678000,412.0
680000,405.0
682000,425.0
684000,447.0
686000,433.0
688000,451.0
690000,419.0
